company_id,company_name,type,rule_id,text,confidence_pct
ABB,Abbott India Ltd,Pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
ABB,Abbott India Ltd,Pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,90
ABB,Abbott India Ltd,Pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,90
ABB,Abbott India Ltd,Pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
ABB,Abbott India Ltd,Pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
ABB,Abbott India Ltd,Pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality.,80
ABB,Abbott India Ltd,Pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,80
ABB,Abbott India Ltd,Con,DEFAULT_CON,"No significant financial weakness identified, however future performance should continue to be monitored.",60
ADANIENSOL,Adani Energy Solutions Ltd,Pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,90
ADANIENSOL,Adani Energy Solutions Ltd,Pro,PRO_04,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,90
ADANIENSOL,Adani Energy Solutions Ltd,Pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,85
ADANIENSOL,Adani Energy Solutions Ltd,Con,CON_01,Debt-to-equity ratio of 2.93 is elevated for a non-financial company and warrants monitoring.,95
ADANIENSOL,Adani Energy Solutions Ltd,Con,CON_08,Rising debt over the past 3 years suggests increasing financial leverage risk.,85
ADANIENSOL,Adani Energy Solutions Ltd,Con,CON_09,Earnings per share declining for 3 consecutive years reflects deteriorating profitability.,90
ADANIENSOL,Adani Energy Solutions Ltd,Con,CON_11,Net debt exceeding three times operating profit indicates elevated financial leverage.,90
ADANIENT,Adani Enterprises Ltd,Pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,90
ADANIENT,Adani Enterprises Ltd,Pro,PRO_04,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,90
ADANIENT,Adani Enterprises Ltd,Pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,90
