company_id,company_logo,company_name,chart_link,about_company,website,nse_profile,bse_profile,face_value,book_value,roce_percentage,roe_percentage,broad_sector,sub_sector,index_weight_pct,market_cap_category,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,return_on_capital_employed_pct,return_on_assets_pct,debt_to_equity,high_leverage_flag,interest_coverage,icr_label,icr_warning,net_debt,asset_turnover,free_cash_flow_cr,cfo_quality_score,capex_intensity_pct,capex_category,fcf_conversion_pct,capital_allocation_pattern,market_cap_crore,enterprise_value_crore,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_3yr,revenue_cagr_5yr,revenue_cagr_10yr,pat_cagr_3yr,pat_cagr_5yr,pat_cagr_10yr,eps_cagr_3yr,eps_cagr_5yr,eps_cagr_10yr,revenue_cagr_flag,pat_cagr_flag,eps_cagr_flag,composite_quality_score,created_at,sector,cfo_quality_score_cashflow,cfo_quality_label,capex_intensity_pct_cashflow,capex_label,fcf_cagr_5yr,fcf_conversion_pct_cashflow,distress_flag,deleveraging_flag,capital_allocation_pattern_cashflow,capital_allocation_label,year_capital,reinvestment_ratio,reinvestment_category,dividend_policy,cash_utilization,debt_trend,leverage,capital_score,rating,Profit Growth,ROE,Sales Growth,Stock CAGR
HDFCBANK,"https://mkt.in/static/mkt-icons/nifty100/HDFCBANK.png
",HDFC Bank Ltd,https://in.tradingview.com/chart/?symbol=NSE%3AHDFCBANK,"HDFC Bank Limited (also known as HDFC) is an Indian banking and financial services company headquartered in Mumbai. It is India's largest private sector bank by assets and the world's tenth-largest bank by market capitalization as of May 2024.
As of April 2024, HDFC Bank has a market capitalization of $145 billion, making it the third-largest company on the Indian stock exchanges",http://www.hdfcbank.com/,https://www.nseindia.com/get-quotes/equity?symbol=HDFCBANK,https://www.bseindia.com/stock-share-price/hdfc-bank-ltd/HDFCBANK/500180/,1.0,601.0,7.67,17.1,Financials,Private Banks,1.06,Large Cap,Mar 2024,23.07,61.41,14.34,4.89,1.62,6.81,0,1.4,,1,2101821.0,0.07,35669.0,Accrual Risk,5.85,Moderate,20.48,Liquidating Assets,808359.03,976938.14,49.42,4.4,22.54,4.33,84.0,456396.0,23.0,3107503.0,19069.0,,21.95,,,23.87,,,15.42,,OK,OK,OK,21.76,2026-07-06 15:19:48,,-0.39,Accrual Risk,5.85,Moderate,,20.48,False,False,Liquidating Assets,Restructuring,Mar 2024,87.05,Growth Focused,Moderate Dividend,Asset Monetization,Increasing Debt,Very High,68.0,Average,22.0,17.0,21.0,15.0
INFY,https://images.5paisa.com/MarketIcons/INFY.png,Infosys Ltd,https://in.tradingview.com/chart/?symbol=NSE%3AINFY,"Infosys Ltd provides consulting, technology, outsourcing and next-generation digital services to enable clients to execute strategies for their digital transformation",http://www.infosys.com/,https://www.nseindia.com/get-quotes/equity?symbol=INFY,https://www.bseindia.com/stock-share-price/infosys-ltd/INFY/500209/,5.0,218.0,40.0,31.8,Information Technology,IT Services,3.37,Large Cap,Mar 2024,17.08,23.7,29.79,37.76,19.3,0.09,0,87.52,,0,-16264.0,1.13,20117.0,Moderate,3.31,Moderate,55.23,Reinvestor,1112279.92,1372029.68,35.99,8.97,36.7,4.1,63.0,88116.0,,8359.0,25210.0,,13.2,,,11.24,,,12.47,,OK,OK,OK,37.9,2026-07-06 15:19:48,,0.91,Moderate,3.31,Moderate,14.69779172398365,55.23,False,False,Reinvestor,Growth Focused,Mar 2024,20.2,Low Reinvestment,Unknown,Healthy Capital Allocation,Increasing Debt,Low,100.0,Excellent,9.0,27.0,12.0,15.0
TCS,https://images.5paisa.com/MarketIcons/TCS.png,Tata Consultancy Services Ltd,https://www.tradingview.com/chart/?symbol=NSE%3ATCS,"Tata Consultancy Services is the flagship company and a part of Tata group. It is an IT services, consulting and business solutions organization that has been partnering with many of the world's largest businesses in their transformation journeys for over 50 years. TCS offers a consulting-led, cognitive powered, integrated portfolio of business, technology and engineering services and solutions.",https://www.tcs.com/,https://www.nseindia.com/get-quotes/equity?symbol=TCS,https://www.bseindia.com/stock-share-price/tata-consultancy-services-ltd/TCS/532540/,1.0,281.0,64.3,0.52,Information Technology,IT Services,1.1,Large Cap,Mar 2024,19.14,26.69,50.94,65.27,31.69,0.09,0,87.1,,0,-23741.0,1.66,50429.0,Moderate,2.53,Asset Light,78.43,Liquidating Assets,461188.15,542230.13,78.69,6.08,29.94,1.62,127.0,90489.0,58.0,8021.0,44338.0,,10.46,,,7.87,,,8.62,,OK,OK,OK,45.49,2026-07-06 15:19:48,,0.95,Moderate,,,10.04678995232531,,False,False,Liquidating Assets,Restructuring,Mar-24,13.74,Low Reinvestment,Unknown,Asset Monetization,Increasing Debt,Unknown,35.0,Weak,9.0,40.0,11.0,14.0
SBILIFE,https://mkt.in/static/mkt-icons/nifty100/SBILIFE.png,SBI Life Insurance Company Ltd,https://in.tradingview.com/chart/qGsydD2w/?symbol=NSE%3AAMBUJACEM.T0,"SBI Life Insurance Company Ltd is engaged in the business of life insurance and annuity. It was started as a Joint-venture between State Bank of India and BNP Paribas Cardif S.A.[1]


",https://www.sbilife.co.in/,https://www.nseindia.com/get-quotes/equity?symbol=SBILIFE,https://www.bseindia.com/stock-share-price/sbi-life-insurance-company-ltd/SBILIFE/540719/,10.0,162.0,13.2,12.0,Financials,Life Insurance,3.16,Large Cap,Mar 2024,1.43,0.19,12.7,1.65,0.48,0.0,0,240.33,,0,-384943.0,0.33,-2099.0,High Quality,23.65,Capital Intensive,-853.25,Reinvestor,886097.71,1097553.71,69.98,9.48,31.04,1.62,19.0,14908.0,14.0,0.0,29122.0,,24.23,,,7.37,,,7.89,,OK,OK,OK,29.43,2026-07-06 15:19:48,,9.74,High Quality,23.65,Capital Intensive,,-853.25,False,False,Shareholder Returns,Excellent,Mar 2024,107.21,Aggressive Expansion,Low Dividend,Healthy Capital Allocation,Stable Debt,Low,100.0,Excellent,6.0,14.0,24.0,8.0
M&M,https://mkt.in/static/mkt-icons/nifty100/M&M.png,Mahindra & Mahindra Ltd,https://in.tradingview.com/chart/?symbol=NSE%3AM&M=,"Mahindra & Mahindra is an Indian automobile manufacturing company headquartered in Mumbai, Maharashtra. It was established in 1945 as Mahindra & Mohammed and later renamed Mahindra & Mahindra.",https://auto.mahindra.com/,https://www.nseindia.com/get-quotes/equity?symbol=M&M,https://www.bseindia.com/stock-share-price/mahindra--mahindra-ltd/mm/500520/,5.0,567.0,26.98,17.99,Consumer Discretionary,Automobiles,3.95,Large Cap,Mar 2024,8.82,17.9,18.54,14.24,5.23,1.64,0,3.76,,0,73439.0,0.59,-11245.0,Accrual Risk,4.04,Moderate,-45.18,Growth Funded by Debt,4173085.48,3837414.39,14.22,0.81,29.08,2.37,91.0,66190.0,21.0,108647.0,-5630.0,,5.84,,,15.32,,,16.18,,OK,OK,OK,27.97,2026-07-06 15:19:48,,1.39,High Quality,4.04,Moderate,,-45.18,True,False,Growth Funded by Debt,Aggressive,Mar 2024,99.73,Growth Focused,Moderate Dividend,Financial Stress,Increasing Debt,High,73.0,Good,,,,
SHREECEM,https://mkt.in/static/mkt-icons/nifty100/SHREECEM.png,Shree Cement Ltd,https://in.tradingview.com/chart/qGsydD2w/?symbol=NSE%3AAMBUJACEM.T0,Shree Cement is engaged in manufacturing and selling of cement and cement related products and is ** one of the lowest cost producers in the country. It is the 3rd largest** cement,https://www.shreecement.com/,https://www.nseindia.com/get-quotes/equity?symbol=SHREECEM,https://www.bseindia.com/stock-share-price/shree-cement-ltd/SHREECEM/500387/,10.0,5787.0,14.8,12.2,Materials,Cement,2.86,Large Cap,Mar 2024,8.45,22.02,8.37,20.21,6.21,0.08,0,19.83,,0,-5900.0,0.73,1929.0,High Quality,6.91,Moderate,42.7,Reinvestor,3154358.33,2911084.5,25.87,1.21,26.58,3.2,480.0,20703.0,16.0,1656.0,3347.0,,10.33,,,11.29,,,10.68,,OK,OK,OK,27.87,2026-07-06 15:19:48,,1.86,High Quality,6.91,Moderate,6.251750529498334,42.7,False,True,Shareholder Returns,Excellent,Mar 2024,42.37,Balanced,Low Dividend,Healthy Capital Allocation,Deleveraging,Low,100.0,Excellent,,,,
DMART,https://mkt.in/static/mkt-icons/nifty100/DMART.png,Avenue Supermarts Ltd,https://in.tradingview.com/chart/?symbol=NSE%3ADMART,"Avenue Supermarts Limited (DMart) is a national supermarket chain, with a focus on value-retailing. We offer a wide range of products with a focus on the Foods, Non-Foods (FMCG) and General Merchandise
& Apparel product categories",http://www.dmartindia.com/,https://www.nseindia.com/get-quotes/equity?symbol=DMART,https://www.bseindia.com/stock-share-price/avenue-supermarts-ltd/DMART/540376/,10.0,309.0,19.4,14.5,Consumer Discretionary,Retail,3.07,Large Cap,Mar 2024,4.99,8.08,13.56,21.29,11.98,0.03,0,73.29,,0,485.0,2.4,278.0,High Quality,4.86,Moderate,6.77,Reinvestor,3053088.97,3624591.94,72.53,11.71,36.84,1.94,39.0,18698.0,0.0,592.0,2746.0,,20.48,,,22.97,,,22.74,,OK,OK,OK,33.45,2026-07-06 15:19:48,,1.09,High Quality,4.86,Moderate,,6.77,False,True,Shareholder Returns,Excellent,Mar 2024,89.88,Growth Focused,No Dividend,Healthy Capital Allocation,Deleveraging,Low,100.0,Excellent,,,,
TECHM,https://mkt.in/static/mkt-icons/nifty100/TECHM.png,Tech Mahindra Ltd,https://in.tradingview.com/chart/qGsydD2w/?symbol=NSE%3AAMBUJACEM.T0,"Tech Mahindra Ltd provides comprehensive range of IT services, including IT enabled service, application development and",https://www.techmahindra.com/,https://www.nseindia.com/get-quotes/equity?symbol=TECHM,https://www.bseindia.com/stock-share-price/tech-mahindra-ltd/TECHM/532755/,5.0,270.0,11.9,8.63,Information Technology,IT Services,2.39,Large Cap,Mar 2024,4.61,8.67,8.99,15.43,5.56,0.1,0,13.86,,0,-701.0,1.21,5058.0,High Quality,2.53,Asset Light,112.25,Reinvestor,3021095.64,3131058.36,57.4,7.43,7.85,0.64,24.0,26669.0,150.0,2537.0,6376.0,,8.4,,,-10.99,,,-11.42,,OK,OK,OK,25.24,2026-07-06 15:19:48,,1.19,High Quality,2.53,Asset Light,14.31784771311364,112.25,False,False,Shareholder Returns,Excellent,Mar 2024,20.67,Low Reinvestment,High Dividend,Healthy Capital Allocation,Stable Debt,Low,100.0,Excellent,,,,
HAL,https://mkt.in/static/mkt-icons/nifty100/HAL.png,Hindustan Aeronautics Ltd,https://in.tradingview.com/chart/qGsydD2w/?symbol=NSE%3AAMBUJACEM.T0,"Hindustan Aeronautics is engaged in the business of Manufacture of Aircraft and Helicopters and Repair, Maintenance of Aircraft and Helicopters",https://hal-india.co.in/,https://www.nseindia.com/get-quotes/equity?symbol=HAL,https://www.bseindia.com/stock-share-price/hindustan-aeronautics-ltd/HAL/541154/,5.0,465.0,38.9,28.9,Industrials,Defence & Aerospace,1.6,Large Cap,Mar 2024,25.0,32.09,3816.58,3027.64,1687.78,0.62,0,270.88,,0,80.0,67.51,1814.0,High Quality,21.11,Capital Intensive,18.61,Reinvestor,2643616.86,3140281.78,71.89,3.65,8.76,2.77,114.0,199.0,31.0,123.0,8226.0,,8.71,,,26.49,,,26.64,,OK,OK,OK,1431.03,2026-07-06 15:19:48,,0.75,Moderate,21.11,Capital Intensive,-5.002096841865733,18.61,False,False,Reinvestor,Growth Focused,Mar 2024,77.95,Growth Focused,Moderate Dividend,Healthy Capital Allocation,Increasing Debt,Moderate,100.0,Excellent,,,,
IRFC,https://mkt.in/static/mkt-icons/nifty100/IRFC.png,Indian Railway Finance Corporation Ltd,https://in.tradingview.com/chart/?symbol=NSE%3AIRFC,"Incorporated in 1986, Indian Railway Finance Corporation borrows funds from the financial markets to finance the acquisition / creation of assets which are then leased out to the Indian Railways as finance lease",https://irfc.co.in/,https://www.nseindia.com/get-quotes/equity?symbol=IRFC,https://www.bseindia.com/stock-share-price/indian-railway-finance-corporation-ltd/IRFC/543257/,10.0,39.0,5.73,13.7,Financials,Speciality Finance,4.33,Large Cap,Mar 2024,24.06,99.5,13.04,5.75,1.32,8.38,0,1.32,,1,411985.0,0.05,7906.0,High Quality,0.03,Asset Light,29.82,Reinvestor,2618348.58,2449260.08,9.81,3.91,16.66,2.82,5.0,49179.0,31.0,412039.0,7914.0,,19.07,,,23.25,,,20.11,,OK,OK,OK,17.85,2026-07-06 15:19:48,,-14.03,Accrual Risk,0.03,Asset Light,,29.82,False,True,Reinvestor,Growth Focused,Mar 2024,0.1,Low Reinvestment,Moderate Dividend,Healthy Capital Allocation,Deleveraging,Very High,95.0,Excellent,,,,
