company_id,company_logo,company_name,chart_link,about_company,website,nse_profile,bse_profile,face_value,book_value,roce_percentage,roe_percentage,broad_sector,sub_sector,index_weight_pct,market_cap_category,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,return_on_capital_employed_pct,return_on_assets_pct,debt_to_equity,high_leverage_flag,interest_coverage,icr_label,icr_warning,net_debt,asset_turnover,free_cash_flow_cr,cfo_quality_score,capex_intensity_pct,capex_category,fcf_conversion_pct,capital_allocation_pattern,market_cap_crore,enterprise_value_crore,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_3yr,revenue_cagr_5yr,revenue_cagr_10yr,pat_cagr_3yr,pat_cagr_5yr,pat_cagr_10yr,eps_cagr_3yr,eps_cagr_5yr,eps_cagr_10yr,revenue_cagr_flag,pat_cagr_flag,eps_cagr_flag,composite_quality_score,created_at,sector,cfo_quality_score_cashflow,cfo_quality_label,capex_intensity_pct_cashflow,capex_label,fcf_cagr_5yr,fcf_conversion_pct_cashflow,distress_flag,deleveraging_flag,capital_allocation_pattern_cashflow,capital_allocation_label,year_capital,reinvestment_ratio,reinvestment_category,dividend_policy,cash_utilization,debt_trend,leverage,capital_score,rating,Profit Growth,ROE,Sales Growth,Stock CAGR
NESTLEIND,https://mkt.in/static/mkt-icons/nifty100/NESTLEIND.png,Nestle India Ltd,https://in.tradingview.com/chart/?symbol=NSE%3ANESTLEIND,"Nestle India Limited is the Indian subsidiary of Nestle which is a Swiss multinational company. The company is headquartered in Gurgaon, Haryana. The company's products include food, beverages, chocolate, and confectioneries.",https://www.nestle.in/,https://www.nseindia.com/get-quotes/equity?symbol=NESTLEIND,https://www.bseindia.com/stock-share-price/nestle-india-ltd/nestleind/500790/,1.0,41.0,185.43,135.61,Consumer Staples,Food Products,0.94,Large Cap,Mar 2024,16.12,23.83,117.75,157.75,37.38,0.1,0,41.19,,0,-119.0,2.32,2938.0,High Quality,5.07,Moderate,50.54,Reinvestor,1677775.19,1677279.88,54.96,14.34,15.49,3.85,41.0,3340.0,79.0,345.0,4175.0,,14.55,,,14.85,,,15.44,,OK,OK,OK,70.22,2026-07-06 15:19:48,,1.33,High Quality,5.07,Moderate,7.289119583372683,50.54,False,False,Shareholder Returns,Excellent,Mar 2024,29.63,Balanced,High Dividend,Healthy Capital Allocation,Increasing Debt,Low,100.0,Excellent,,,,
ADANIGREEN,https://mkt.in/static/mkt-icons/nifty100/ADANIGREEN.png,Adani Green Energy Ltd,https://in.tradingview.com/chart/?symbol=NSE%3AADANIGREEN,"Adani Green Energy Limited, incorporated in 2015, is a holding company of several subsidiaries carrying business of renewable power generation within the group and is primarily involved in renewable power generation and other ancillary activities.",http://www.adanigreenenergy.com/,https://www.nseindia.com/get-quotes/equity?symbol=ADANIGREEN,https://www.bseindia.com/stock-share-price/adani-green-energy-ltd/ADANIGREEN/541450/,10.0,67.0,96.5,14.7,Energy,Renewable Energy,1.23,Large Cap,Mar 2024,13.67,79.37,12.81,9.8,1.43,6.6,1,1.71,,0,63343.0,0.1,-13347.0,High Quality,228.42,Capital Intensive,-182.39,Mixed,510512.78,491878.9,45.26,6.24,21.78,0.89,7.0,9834.0,0.0,64858.0,7713.0,,34.98,,,,,,,,OK,TURNAROUND,TURNAROUND,19.36,2026-07-06 15:19:48,,-1.1,Accrual Risk,228.42,Capital Intensive,,-182.39,False,False,Mixed,Balanced,Mar 2024,273.05,Aggressive Expansion,No Dividend,Expansion Using External Funding,Increasing Debt,Very High,49.0,Weak,,,,
TCS,https://images.5paisa.com/MarketIcons/TCS.png,Tata Consultancy Services Ltd,https://www.tradingview.com/chart/?symbol=NSE%3ATCS,"Tata Consultancy Services is the flagship company and a part of Tata group. It is an IT services, consulting and business solutions organization that has been partnering with many of the world's largest businesses in their transformation journeys for over 50 years. TCS offers a consulting-led, cognitive powered, integrated portfolio of business, technology and engineering services and solutions.",https://www.tcs.com/,https://www.nseindia.com/get-quotes/equity?symbol=TCS,https://www.bseindia.com/stock-share-price/tata-consultancy-services-ltd/TCS/532540/,1.0,281.0,64.3,0.52,Information Technology,IT Services,1.1,Large Cap,Mar 2024,19.14,26.69,50.94,65.27,31.69,0.09,0,87.1,,0,-23741.0,1.66,50429.0,Moderate,2.53,Asset Light,78.43,Liquidating Assets,461188.15,542230.13,78.69,6.08,29.94,1.62,127.0,90489.0,58.0,8021.0,44338.0,,10.46,,,7.87,,,8.62,,OK,OK,OK,45.49,2026-07-06 15:19:48,,0.95,Moderate,,,10.04678995232531,,False,False,Liquidating Assets,Restructuring,Mar-24,13.74,Low Reinvestment,Unknown,Asset Monetization,Increasing Debt,Unknown,35.0,Weak,9.0,40.0,11.0,14.0
LICI,https://mkt.in/static/mkt-icons/nifty100/LICI.png,Life Insurance Corporation of India,https://in.tradingview.com/chart/?symbol=NSE%3ALICI,Life Insurance Corporation of India is an Indian multinational public sector life insurance company headquartered in Mumbai,https://www.licindia.in/,https://www.nseindia.com/get-quotes/equity?symbol=LICI,https://www.bseindia.com/stock-share-price/life-insurance-corporation-of-india/lici/543526/,10.0,154.0,63.79,63.61,Financials,Life Insurance,2.18,Large Cap,Mar 2024,4.84,3.87,49.45,39.61,0.77,0.0,0,371.94,,0,-4976133.0,0.16,853.0,Moderate,2.99,Asset Light,2.6,Reinvestor,183583.67,205478.22,30.67,8.1,12.21,3.77,66.0,82747.0,15.0,0.0,26122.0,,8.16,,,73.18,,,,,OK,OK,OK,46.98,2026-07-06 15:19:48,,8.91,High Quality,2.99,Asset Light,-48.21728841371581,2.6,False,False,Shareholder Returns,Excellent,Mar 2024,96.73,Growth Focused,Low Dividend,Healthy Capital Allocation,Stable Debt,Low,100.0,Excellent,,,,
COALINDIA,https://mkt.in/static/mkt-icons/nifty100/COALINDIA.png,Coal India Ltd,https://in.tradingview.com/chart/?symbol=NSE%3ACOALINDIA,"Coal India Ltd is mainly engaged in mining and production of Coal and also operates Coal washeries. The major consumers of the company are power and steel sectors. Consumers from other sectors include cement, fertilizers, brick kilns etc.",http://www.coalindia.in/,https://www.nseindia.com/get-quotes/equity?symbol=COALINDIA,https://www.bseindia.com/stock-share-price/coal-india-ltd/COALINDIA/533278/,10.0,156.0,63.6,52.0,Materials,Mining & Metals,2.46,Large Cap,Mar 2024,26.26,66.29,45.17,105.71,15.8,0.08,0,11.24,,0,-587.0,0.6,13617.0,Accrual Risk,3.15,Moderate,14.43,Reinvestor,454024.84,574785.39,34.27,14.75,25.15,4.38,61.0,82730.0,42.0,6523.0,18103.0,,7.4,,,16.43,,,16.85,,OK,OK,OK,44.25,2026-07-06 15:19:48,,1.19,High Quality,3.15,Moderate,5.863057152249307,14.43,False,False,Shareholder Returns,Excellent,Mar 2024,24.78,Low Reinvestment,Moderate Dividend,Healthy Capital Allocation,Increasing Debt,Low,100.0,Excellent,,,,
IRCTC,https://mkt.in/static/mkt-icons/nifty100/IRCTC.png,Indian Railway Catering & Tourism Corporation Ltd,https://in.tradingview.com/chart/?symbol=NSE%3AIRCTC,"Incorporated in 1999, IRCTC is a Mini Ratna (Category 1, Central Public Sector Enterprises ) and the only company authorized by the Indian government to provide online railway tickets, catering services, and packaged drinking water
at railway stations and trains in India",http://www.irctc.com/,https://www.nseindia.com/get-quotes/equity?symbol=IRCTC,https://www.bseindia.com/stock-share-price/indian-railway-catering-tourism-corporation-ltd/IRCTC/542830/,2.0,44.0,53.8,40.4,Consumer Discretionary,Travel & Tourism,3.97,Mid Cap,Mar 2024,26.02,34.33,34.4,44.56,18.24,0.02,0,82.74,,0,60.0,0.7,667.0,Moderate,5.04,Moderate,45.5,Reinvestor,1258520.29,1473943.68,60.44,5.74,32.47,1.08,14.0,3230.0,47.0,60.0,882.0,,17.96,,,29.17,,,28.47,,OK,OK,OK,43.52,2026-07-06 15:19:48,,0.98,Moderate,5.04,Moderate,45.37464474156747,45.5,False,True,Reinvestor,Growth Focused,Mar 2024,24.38,Low Reinvestment,Moderate Dividend,Healthy Capital Allocation,Deleveraging,Low,100.0,Excellent,,,,
BRITANNIA,https://mkt.in/static/mkt-icons/nifty100/BRITANNIA.png,Britannia Industries Ltd,https://in.tradingview.com/chart/qGsydD2w/?symbol=NSE%3AAMBUJACEM.T0,"Britannia Industries is one of Indias leading food companies with a 100 year legacy and annual revenues in excess of Rs. 9000 Cr. Britannia is among the most trusted food brands, and manufactures Indias favorite brands like Good Day, Tiger, NutriChoice, Milk Bikis and Marie Gold which are household names in India. Britannias product portfolio includes Biscuits, Bread, Cakes, Rusk, and Dairy products including Cheese, Beverages, Milk and Yoghurt.

",https://www.britannia.co.in/,https://www.nseindia.com/get-quotes/equity?symbol=BRITANNIA,https://www.bseindia.com/stock-share-price/britannia-industries-ltd/BRITANNIA/500825/,1.0,133.0,48.9,57.1,Consumer Staples,Food Products,0.66,Large Cap,Mar 2024,12.73,18.89,54.15,52.73,23.52,0.52,0,20.6,,0,-702.0,1.85,3050.0,High Quality,2.84,Asset Light,96.31,Liquidating Assets,324745.74,376568.58,63.91,4.26,33.95,1.88,89.0,3941.0,83.0,2065.0,2573.0,,8.69,,,13.06,,,13.14,,OK,OK,OK,44.92,2026-07-06 15:19:48,,1.08,High Quality,2.84,Asset Light,21.81530931380111,96.31,False,True,Liquidating Assets,Restructuring,Mar 2024,18.54,Low Reinvestment,High Dividend,Asset Monetization,Deleveraging,Moderate,100.0,Excellent,,,,
ABB,https://mkt.in/static/mkt-icons/nifty100/ABB.png,Abbott India Ltd,https://in.tradingview.com/chart/?symbol=NSE%3AABBOTINDIA,Abbott India Ltd is one of the leading multinational pharmaceutical companies in India and sells its products through independent distributors primarily within India.,https://www.abbott.co.in/,https://www.nseindia.com/get-quotes/equity?symbol=ABBOTINDIA,https://www.bseindia.com/stock-share-price/abbott-india-ltd/ABBOTINDIA/500488/,10.0,1657.0,46.0,34.9,Industrials,Capital Goods,0.81,Large Cap,Mar 2024,20.53,24.84,32.47,38.42,23.13,0.02,0,141.75,,0,83.0,1.13,797.0,High Quality,7.11,Moderate,54.85,Reinvestor,1536236.24,1619349.16,75.58,4.48,12.63,0.96,565.0,3699.0,73.0,83.0,1213.0,,9.72,,,21.69,,,21.66,,OK,OK,OK,40.19,2026-07-06 15:19:48,,2.83,High Quality,84.51,Capital Intensive,15.97680185259178,75.36,False,False,Shareholder Returns,Excellent,Mar 2024,81.86,Growth Focused,High Dividend,Healthy Capital Allocation,Stable Debt,Low,100.0,Excellent,,,,
ASIANPAINT,https://mkt.in/static/mkt-icons/nifty100/ASIANPAINT.png,Asian PaintsIndian Multi-National Paint and Coating Manufacturing Company,https://in.tradingview.com/chart/?symbol=NSE%3AASIANPAINT,"Asian Paints Ltd is an Indian multinational paint company, headquartered in Mumbai. The company is engaged in the business of manufacturing, selling and distribution of paints, coatings, products related to home decor, bath fittings and providing related services.",https://www.asianpaints.com/,https://www.nseindia.com/get-quotes/equity?symbol=ASIANPAINT,https://www.bseindia.com/stock-share-price/asian-paints-ltd/asianpaint/500820/,1.0,188.0,41.75,31.45,Materials,Paints & Coatings,1.13,Large Cap,Mar 2024,15.66,21.37,29.68,35.77,18.59,0.13,0,41.0,,0,-2114.0,1.19,3556.0,High Quality,7.18,Moderate,46.88,Reinvestor,2126725.18,2475080.63,73.37,3.9,23.94,2.42,57.0,18728.0,58.0,2474.0,6104.0,,13.03,,,20.28,,,20.97,,OK,OK,OK,38.43,2026-07-06 15:19:48,,0.98,Moderate,7.18,Moderate,7.165052733696187,46.88,False,False,Reinvestor,Growth Focused,Mar 2024,41.74,Balanced,High Dividend,Healthy Capital Allocation,Stable Debt,Low,100.0,Excellent,,,,
INFY,https://images.5paisa.com/MarketIcons/INFY.png,Infosys Ltd,https://in.tradingview.com/chart/?symbol=NSE%3AINFY,"Infosys Ltd provides consulting, technology, outsourcing and next-generation digital services to enable clients to execute strategies for their digital transformation",http://www.infosys.com/,https://www.nseindia.com/get-quotes/equity?symbol=INFY,https://www.bseindia.com/stock-share-price/infosys-ltd/INFY/500209/,5.0,218.0,40.0,31.8,Information Technology,IT Services,3.37,Large Cap,Mar 2024,17.08,23.7,29.79,37.76,19.3,0.09,0,87.52,,0,-16264.0,1.13,20117.0,Moderate,3.31,Moderate,55.23,Reinvestor,1112279.92,1372029.68,35.99,8.97,36.7,4.1,63.0,88116.0,,8359.0,25210.0,,13.2,,,11.24,,,12.47,,OK,OK,OK,37.9,2026-07-06 15:19:48,,0.91,Moderate,3.31,Moderate,14.69779172398365,55.23,False,False,Reinvestor,Growth Focused,Mar 2024,20.2,Low Reinvestment,Unknown,Healthy Capital Allocation,Increasing Debt,Low,100.0,Excellent,9.0,27.0,12.0,15.0
