company_id,company_logo,company_name,chart_link,about_company,website,nse_profile,bse_profile,face_value,book_value,roce_percentage,roe_percentage,broad_sector,sub_sector,index_weight_pct,market_cap_category,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,return_on_capital_employed_pct,return_on_assets_pct,debt_to_equity,high_leverage_flag,interest_coverage,icr_label,icr_warning,net_debt,asset_turnover,free_cash_flow_cr,cfo_quality_score,capex_intensity_pct,capex_category,fcf_conversion_pct,capital_allocation_pattern,market_cap_crore,enterprise_value_crore,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_3yr,revenue_cagr_5yr,revenue_cagr_10yr,pat_cagr_3yr,pat_cagr_5yr,pat_cagr_10yr,eps_cagr_3yr,eps_cagr_5yr,eps_cagr_10yr,revenue_cagr_flag,pat_cagr_flag,eps_cagr_flag,composite_quality_score,created_at,sector,cfo_quality_score_cashflow,cfo_quality_label,capex_intensity_pct_cashflow,capex_label,fcf_cagr_5yr,fcf_conversion_pct_cashflow,distress_flag,deleveraging_flag,capital_allocation_pattern_cashflow,capital_allocation_label,year_capital,reinvestment_ratio,reinvestment_category,dividend_policy,cash_utilization,debt_trend,leverage,capital_score,rating,Profit Growth,ROE,Sales Growth,Stock CAGR
M&M,https://mkt.in/static/mkt-icons/nifty100/M&M.png,Mahindra & Mahindra Ltd,https://in.tradingview.com/chart/?symbol=NSE%3AM&M=,"Mahindra & Mahindra is an Indian automobile manufacturing company headquartered in Mumbai, Maharashtra. It was established in 1945 as Mahindra & Mohammed and later renamed Mahindra & Mahindra.",https://auto.mahindra.com/,https://www.nseindia.com/get-quotes/equity?symbol=M&M,https://www.bseindia.com/stock-share-price/mahindra--mahindra-ltd/mm/500520/,5.0,567.0,26.98,17.99,Consumer Discretionary,Automobiles,3.95,Large Cap,Mar 2024,8.82,17.9,18.54,14.24,5.23,1.64,0,3.76,,0,73439.0,0.59,-11245.0,Accrual Risk,4.04,Moderate,-45.18,Growth Funded by Debt,4173085.48,3837414.39,14.22,0.81,29.08,2.37,91.0,66190.0,21.0,108647.0,-5630.0,,5.84,,,15.32,,,16.18,,OK,OK,OK,27.97,2026-07-06 15:19:48,,1.39,High Quality,4.04,Moderate,,-45.18,True,False,Growth Funded by Debt,Aggressive,Mar 2024,99.73,Growth Focused,Moderate Dividend,Financial Stress,Increasing Debt,High,73.0,Good,,,,
SHREECEM,https://mkt.in/static/mkt-icons/nifty100/SHREECEM.png,Shree Cement Ltd,https://in.tradingview.com/chart/qGsydD2w/?symbol=NSE%3AAMBUJACEM.T0,Shree Cement is engaged in manufacturing and selling of cement and cement related products and is ** one of the lowest cost producers in the country. It is the 3rd largest** cement,https://www.shreecement.com/,https://www.nseindia.com/get-quotes/equity?symbol=SHREECEM,https://www.bseindia.com/stock-share-price/shree-cement-ltd/SHREECEM/500387/,10.0,5787.0,14.8,12.2,Materials,Cement,2.86,Large Cap,Mar 2024,8.45,22.02,8.37,20.21,6.21,0.08,0,19.83,,0,-5900.0,0.73,1929.0,High Quality,6.91,Moderate,42.7,Reinvestor,3154358.33,2911084.5,25.87,1.21,26.58,3.2,480.0,20703.0,16.0,1656.0,3347.0,,10.33,,,11.29,,,10.68,,OK,OK,OK,27.87,2026-07-06 15:19:48,,1.86,High Quality,6.91,Moderate,6.251750529498334,42.7,False,True,Shareholder Returns,Excellent,Mar 2024,42.37,Balanced,Low Dividend,Healthy Capital Allocation,Deleveraging,Low,100.0,Excellent,,,,
DMART,https://mkt.in/static/mkt-icons/nifty100/DMART.png,Avenue Supermarts Ltd,https://in.tradingview.com/chart/?symbol=NSE%3ADMART,"Avenue Supermarts Limited (DMart) is a national supermarket chain, with a focus on value-retailing. We offer a wide range of products with a focus on the Foods, Non-Foods (FMCG) and General Merchandise
& Apparel product categories",http://www.dmartindia.com/,https://www.nseindia.com/get-quotes/equity?symbol=DMART,https://www.bseindia.com/stock-share-price/avenue-supermarts-ltd/DMART/540376/,10.0,309.0,19.4,14.5,Consumer Discretionary,Retail,3.07,Large Cap,Mar 2024,4.99,8.08,13.56,21.29,11.98,0.03,0,73.29,,0,485.0,2.4,278.0,High Quality,4.86,Moderate,6.77,Reinvestor,3053088.97,3624591.94,72.53,11.71,36.84,1.94,39.0,18698.0,0.0,592.0,2746.0,,20.48,,,22.97,,,22.74,,OK,OK,OK,33.45,2026-07-06 15:19:48,,1.09,High Quality,4.86,Moderate,,6.77,False,True,Shareholder Returns,Excellent,Mar 2024,89.88,Growth Focused,No Dividend,Healthy Capital Allocation,Deleveraging,Low,100.0,Excellent,,,,
TECHM,https://mkt.in/static/mkt-icons/nifty100/TECHM.png,Tech Mahindra Ltd,https://in.tradingview.com/chart/qGsydD2w/?symbol=NSE%3AAMBUJACEM.T0,"Tech Mahindra Ltd provides comprehensive range of IT services, including IT enabled service, application development and",https://www.techmahindra.com/,https://www.nseindia.com/get-quotes/equity?symbol=TECHM,https://www.bseindia.com/stock-share-price/tech-mahindra-ltd/TECHM/532755/,5.0,270.0,11.9,8.63,Information Technology,IT Services,2.39,Large Cap,Mar 2024,4.61,8.67,8.99,15.43,5.56,0.1,0,13.86,,0,-701.0,1.21,5058.0,High Quality,2.53,Asset Light,112.25,Reinvestor,3021095.64,3131058.36,57.4,7.43,7.85,0.64,24.0,26669.0,150.0,2537.0,6376.0,,8.4,,,-10.99,,,-11.42,,OK,OK,OK,25.24,2026-07-06 15:19:48,,1.19,High Quality,2.53,Asset Light,14.31784771311364,112.25,False,False,Shareholder Returns,Excellent,Mar 2024,20.67,Low Reinvestment,High Dividend,Healthy Capital Allocation,Stable Debt,Low,100.0,Excellent,,,,
HAL,https://mkt.in/static/mkt-icons/nifty100/HAL.png,Hindustan Aeronautics Ltd,https://in.tradingview.com/chart/qGsydD2w/?symbol=NSE%3AAMBUJACEM.T0,"Hindustan Aeronautics is engaged in the business of Manufacture of Aircraft and Helicopters and Repair, Maintenance of Aircraft and Helicopters",https://hal-india.co.in/,https://www.nseindia.com/get-quotes/equity?symbol=HAL,https://www.bseindia.com/stock-share-price/hindustan-aeronautics-ltd/HAL/541154/,5.0,465.0,38.9,28.9,Industrials,Defence & Aerospace,1.6,Large Cap,Mar 2024,25.0,32.09,3816.58,3027.64,1687.78,0.62,0,270.88,,0,80.0,67.51,1814.0,High Quality,21.11,Capital Intensive,18.61,Reinvestor,2643616.86,3140281.78,71.89,3.65,8.76,2.77,114.0,199.0,31.0,123.0,8226.0,,8.71,,,26.49,,,26.64,,OK,OK,OK,1431.03,2026-07-06 15:19:48,,0.75,Moderate,21.11,Capital Intensive,-5.002096841865733,18.61,False,False,Reinvestor,Growth Focused,Mar 2024,77.95,Growth Focused,Moderate Dividend,Healthy Capital Allocation,Increasing Debt,Moderate,100.0,Excellent,,,,
IRFC,https://mkt.in/static/mkt-icons/nifty100/IRFC.png,Indian Railway Finance Corporation Ltd,https://in.tradingview.com/chart/?symbol=NSE%3AIRFC,"Incorporated in 1986, Indian Railway Finance Corporation borrows funds from the financial markets to finance the acquisition / creation of assets which are then leased out to the Indian Railways as finance lease",https://irfc.co.in/,https://www.nseindia.com/get-quotes/equity?symbol=IRFC,https://www.bseindia.com/stock-share-price/indian-railway-finance-corporation-ltd/IRFC/543257/,10.0,39.0,5.73,13.7,Financials,Speciality Finance,4.33,Large Cap,Mar 2024,24.06,99.5,13.04,5.75,1.32,8.38,0,1.32,,1,411985.0,0.05,7906.0,High Quality,0.03,Asset Light,29.82,Reinvestor,2618348.58,2449260.08,9.81,3.91,16.66,2.82,5.0,49179.0,31.0,412039.0,7914.0,,19.07,,,23.25,,,20.11,,OK,OK,OK,17.85,2026-07-06 15:19:48,,-14.03,Accrual Risk,0.03,Asset Light,,29.82,False,True,Reinvestor,Growth Focused,Mar 2024,0.1,Low Reinvestment,Moderate Dividend,Healthy Capital Allocation,Deleveraging,Very High,95.0,Excellent,,,,
JSWSTEEL,https://mkt.in/static/mkt-icons/nifty100/JSWSTEEL.png,JSW Steel Ltd,https://in.tradingview.com/chart/?symbol=NSE%3AJSWSTEEL,JSW Steel Limited is an Indian multinational steel producer based in Mumbai and is a flagship company of the JSW Group.,https://www.jswsteel.in/,https://www.nseindia.com/get-quotes/equity?symbol=JSWSTEEL,https://www.bseindia.com/stock-share-price/jsw-steel-ltd/jswsteel/500228/,1.0,326.0,13.36,11.66,Materials,Steel,4.49,Large Cap,Mar 2024,5.13,16.09,11.55,17.0,3.94,1.13,0,3.66,,0,80738.0,0.77,-2389.0,High Quality,8.27,Capital Intensive,-8.48,Reinvestor,2612646.38,3187328.18,69.27,4.37,35.49,2.94,36.0,77669.0,25.0,87984.0,12078.0,,15.6,,,3.59,,,2.38,,OK,OK,OK,26.28,2026-07-06 15:19:48,,1.93,High Quality,8.27,Capital Intensive,,-8.48,False,False,Shareholder Returns,Excellent,Mar 2024,119.78,Aggressive Expansion,Moderate Dividend,Healthy Capital Allocation,Increasing Debt,High,87.0,Excellent,,,,
BOSCHLTD,https://mkt.in/static/mkt-icons/nifty100/BOSCHLTD.png,Bosch Ltd,https://in.tradingview.com/chart/qGsydD2w/?symbol=NSE%3AAMBUJACEM.T0,"Bosch Ltd has presence across automotive technology, industrial technology, consumer goods and energy and building technology. It manufactures and trades in products such as diesel and gasoline fuel injection systems, automotive aftermarket products, industrial equipment, electrical power tools, security systems",https://www.bosch.in/,https://www.nseindia.com/get-quotes/equity?symbol=BOSCHLTD,https://www.bseindia.com/stock-share-price/bosch-ltd/BOSCHLTD/500530/,10.0,4319.0,20.6,16.0,Consumer Discretionary,Auto Ancillaries,2.82,Large Cap,Mar 2024,14.89,12.52,20.64,17.31,14.35,0.0,0,71.78,,0,-5086.0,0.96,1536.0,Moderate,1.69,Asset Light,73.32,Liquidating Assets,2599556.05,2628370.51,58.43,6.47,16.07,4.23,844.0,12064.0,44.0,39.0,1253.0,,6.72,,,9.28,,,9.26,,OK,OK,OK,33.1,2026-07-06 15:19:48,,0.99,Moderate,1.69,Asset Light,37.29762744346466,73.32,False,True,Liquidating Assets,Restructuring,Mar 2024,22.59,Low Reinvestment,Moderate Dividend,Asset Monetization,Deleveraging,Low,100.0,Excellent,,,,
HAVELLS,https://mkt.in/static/mkt-icons/nifty100/HAVELLS.png,Havells India Ltd,https://in.tradingview.com/chart/qGsydD2w/?symbol=NSE%3AAMBUJACEM.T0,"Havells India Limited is a leading Fast Moving Electrical Goods (FMEG) Company and a major power distribution equipment manufacturer with a strong global presence.
It enjoys enviable market dominance across a wide spectrum of products, including Industrial & Domestic Circuit Protection Devices, Cables & Wires, Motors, Fans, Modular Switches, Home Appliances, Air Conditioners, Electric Water Heaters, Power Capacitors, Luminaires for Domestic, Commercial and Industrial",https://havells.com/,https://www.nseindia.com/get-quotes/equity?symbol=HAVELLS,https://www.bseindia.com/stock-share-price/havells-india-ltd/HAVELLS/517354/,1.0,124.0,24.4,18.0,Industrials,Consumer Electricals,1.44,Large Cap,Mar 2024,6.84,10.12,17.07,24.27,10.22,0.04,0,25.36,,0,283.0,1.5,335.0,High Quality,8.7,Capital Intensive,17.81,Reinvestor,2521508.87,2620805.22,45.41,14.08,30.73,2.6,20.0,7447.0,44.0,303.0,1953.0,,13.04,,,10.03,,,9.0,,OK,OK,OK,31.72,2026-07-06 15:19:48,,1.25,High Quality,8.7,Capital Intensive,-3.469343496883137,17.81,False,False,Shareholder Returns,Excellent,Mar 2024,82.85,Growth Focused,Moderate Dividend,Healthy Capital Allocation,Increasing Debt,Low,100.0,Excellent,,,,
BAJFINANCE,https://mkt.in/static/mkt-icons/nifty100/BAJFINANCE.png,Bajaj Finance Ltd,https://in.tradingview.com/chart/qGsydD2w/?symbol=NSE%3AAMBUJACEM.T0,"Bajaj Finance is mainly engaged in the business of lending. BFL has a diversified lending portfolio across retail, SME and commercial customers with a significant presence in urban and rural India. It also accepts public and corporate deposits and offers variety of financial services products to its customers.",https://www.bajajfinserv.in/,https://www.nseindia.com/get-quotes/equity?symbol=BAJFINANCE,https://www.bseindia.com/stock-share-price/bajaj-finance-ltd/BAJFINANCE/500034/,2.0,1402.0,11.9,22.1,Financials,Consumer Finance,1.78,Large Cap,Mar 2024,26.29,29.29,18.84,4.35,3.85,3.82,0,2689.17,,0,262465.0,0.15,-79931.0,Accrual Risk,13.04,Capital Intensive,-496.5,Growth Funded by Debt,2473271.58,2632574.41,69.2,4.11,15.96,0.27,233.0,76696.0,15.0,293346.0,-72760.0,,24.35,,,29.32,,,27.56,,OK,OK,OK,30.95,2026-07-06 15:19:48,,-5.56,Accrual Risk,13.04,Capital Intensive,,-496.5,True,False,Growth Funded by Debt,Aggressive,Mar 2024,9.86,Low Reinvestment,Low Dividend,Financial Stress,Increasing Debt,Very High,43.0,Weak,,,,
